ID,Event,Department,Rating,Feedback
83,Sports Meet,EEE,3,"Decent effort, but lacked engagement."
84,Seminar,ME,3,"Neutral experience, nothing special."
85,Cultural Fest,CSE,4,"It was good, interactive and useful."
86,Tech Fest,CSE,2,Could have been more interactive.
87,Sports Meet,ECE,1,"Did not enjoy at all, very dissatisfied."
88,Cultural Fest,CE,2,"Not engaging, got boring after a while."
89,Tech Fest,CE,4,Satisfied with the sessions and arrangements.
90,Seminar,EEE,5,"Great energy and well managed, highly satisfied."
91,Workshop,EEE,5,Loved it! Best event I attended this year.
92,Cultural Fest,EEE,4,Satisfied with the sessions and arrangements.
93,Seminar,EEE,5,"Excellent sessions, very informative and engaging."
94,Workshop,CE,4,"Enjoyed the event, well coordinated."
95,Seminar,MBA,4,"Good experience overall, just a few areas to improve."
96,Sports Meet,ME,2,The content was not well prepared.
97,Workshop,CE,2,Could have been more interactive.
98,Cultural Fest,MBA,5,"Amazing event, very well organized!"
99,Workshop,CSE,4,Satisfied with the sessions and arrangements.
100,Workshop,MBA,4,"It was good, interactive and useful."
101,Seminar,ECE,3,"It was okay, not too great but not bad."
102,Seminar,ME,5,"Amazing event, very well organized!"
103,Cultural Fest,MBA,2,The content was not well prepared.
104,Workshop,EEE,1,Totally irrelevant and waste of time.
105,Cultural Fest,ECE,3,The event was fine but could be more exciting.
106,Workshop,CSE,5,"Had a wonderful experience, everything was perfect."
107,Tech Fest,MBA,4,"It was good, interactive and useful."
108,Seminar,EEE,1,"Did not enjoy at all, very dissatisfied."
109,Sports Meet,EEE,3,"It was okay, not too great but not bad."
110,Tech Fest,CSE,4,"Nice event, had fun and learned something new."
111,Tech Fest,ME,1,"Very poor experience, not worth attending."
112,Tech Fest,ECE,1,Totally irrelevant and waste of time.
113,Seminar,CSE,3,"Neutral experience, nothing special."
114,Workshop,CSE,3,"Neutral experience, nothing special."
115,Cultural Fest,CE,3,"Decent effort, but lacked engagement."
116,Seminar,ME,5,"Excellent sessions, very informative and engaging."
117,Seminar,MBA,3,"The event was average, can be improved."
118,Sports Meet,CE,4,"Enjoyed the event, well coordinated."
119,Seminar,MBA,2,"Not engaging, got boring after a while."
120,Tech Fest,CE,4,"Good experience overall, just a few areas to improve."
121,Seminar,CSE,5,"Excellent sessions, very informative and engaging."
122,Tech Fest,CE,4,"It was good, interactive and useful."
123,Tech Fest,ECE,3,"The event was average, can be improved."
124,Tech Fest,CSE,1,Technical issues ruined the entire session.
125,Workshop,ECE,3,"It was okay, not too great but not bad."
126,Seminar,MBA,3,"The event was average, can be improved."
127,Cultural Fest,EEE,4,"Good experience overall, just a few areas to improve."
128,Sports Meet,CSE,4,Satisfied with the sessions and arrangements.
129,Cultural Fest,CE,2,The content was not well prepared.
130,Workshop,ME,4,"Nice event, had fun and learned something new."
131,Workshop,CE,2,The content was not well prepared.
132,Tech Fest,ME,4,"Good experience overall, just a few areas to improve."
133,Cultural Fest,MBA,5,"Amazing event, very well organized!"
134,Workshop,ECE,2,Poor time management affected the flow.
135,Workshop,ECE,1,The event was unorganized and chaotic.
136,Sports Meet,CSE,3,"The event was average, can be improved."
137,Workshop,MBA,1,Totally irrelevant and waste of time.
138,Tech Fest,ECE,2,"Expected more from the event, disappointing."
139,Sports Meet,MBA,4,"Enjoyed the event, well coordinated."
140,Cultural Fest,CSE,4,"Good experience overall, just a few areas to improve."
141,Seminar,CSE,5,"Great energy and well managed, highly satisfied."
142,Workshop,CE,1,Totally irrelevant and waste of time.
143,Tech Fest,EEE,2,Poor time management affected the flow.
144,Seminar,ME,2,Poor time management affected the flow.
145,Cultural Fest,CSE,3,"Neutral experience, nothing special."
146,Cultural Fest,ME,4,Satisfied with the sessions and arrangements.
147,Workshop,CSE,1,Technical issues ruined the entire session.
148,Workshop,CSE,1,Totally irrelevant and waste of time.
149,Seminar,CE,2,The content was not well prepared.
150,Cultural Fest,EEE,1,Technical issues ruined the entire session.
